incident_type,urgency,location_desc,details,hazards,people,hour,is_weekend,police,ambulance,bomba
Crime,5,"Street 122, near the City Center",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,10,0,5,2,3
Accident,4,"Street 475, near the City Center",General emergency reported,Unknown,Multiple bystanders,12,0,2,3,2
Other,2,"Street 145, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,11,0,0,1,1
Other,5,"Street 172, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,4,0,2,2,3
Crime,2,"Street 7, near the Industrial Zone",Public disturbance,Weapons sighted,Suspect and 2 witnesses,10,1,3,1,1
Medical,5,"Street 145, near the Highway",Allergic reaction,None,1 person involved,22,1,2,4,3
Fire,3,"Street 216, near the Industrial Zone",Building engulfed,Thick smoke,8 people evacuated,17,0,1,1,5
Other,4,"Street 420, near the Highway",General emergency reported,Unknown,Multiple bystanders,18,0,1,2,2
Crime,3,"Street 423, near the Residential Area",Break-in,Aggressive behavior,Suspect and 2 witnesses,19,1,4,1,1
Fire,4,"Street 457, near the Residential Area",Building engulfed,Thick smoke,7 people evacuated,3,0,1,2,6
Fire,4,"Street 169, near the Forest",Building engulfed,Explosion risk,5 people evacuated,12,0,1,2,6
Other,1,"Street 229, near the City Center",General emergency reported,Unknown,Multiple bystanders,20,0,0,0,0
Fire,3,"Street 362, near the Forest",Small kitchen fire,Chemical smell,3 people evacuated,17,0,1,1,5
Crime,4,"Street 451, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,8,1,4,2,2
Accident,4,"Street 16, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,2,0,2,3,2
Accident,3,"Street 4, near the Forest",General emergency reported,Unknown,Multiple bystanders,18,1,2,3,1
Medical,1,"Street 472, near the Residential Area",Allergic reaction,None,1 person involved,0,1,0,2,0
Medical,4,"Street 298, near the Forest",Unconscious person,None,1 person involved,2,0,1,4,2
Crime,4,"Street 116, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,18,0,4,2,2
Accident,2,"Street 125, near the Highway",General emergency reported,Unknown,Multiple bystanders,18,1,1,2,1
Fire,3,"Street 113, near the Forest",Building engulfed,Explosion risk,3 people evacuated,18,1,1,1,5
Other,4,"Street 479, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,15,0,1,2,2
Other,2,"Street 209, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,20,0,0,1,1
Crime,1,"Street 82, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,3,0,3,0,0
Medical,3,"Street 165, near the Highway",Allergic reaction,None,1 person involved,5,0,1,3,1
Accident,1,"Street 329, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,18,0,1,2,0
Fire,5,"Street 203, near the Forest",Building engulfed,Chemical smell,9 people evacuated,0,0,2,2,7
Other,2,"Street 119, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,12,0,0,1,1
Accident,1,"Street 434, near the Highway",General emergency reported,Unknown,Multiple bystanders,5,1,1,2,0
Other,4,"Street 446, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,8,1,1,2,2
Fire,4,"Street 431, near the City Center",Spreading to trees,Chemical smell,7 people evacuated,7,0,1,2,6
Fire,1,"Street 450, near the Highway",Spreading to trees,Explosion risk,3 people evacuated,11,1,0,0,4
Crime,2,"Street 482, near the Industrial Zone",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,23,0,3,1,1
Fire,2,"Street 116, near the Industrial Zone",Spreading to trees,Explosion risk,7 people evacuated,22,1,0,1,5
Medical,1,"Street 60, near the Industrial Zone",Cardiac arrest,None,1 person involved,4,0,0,2,0
Medical,3,"Street 453, near the Forest",Allergic reaction,None,1 person involved,6,1,1,3,1
Other,4,"Street 50, near the Forest",General emergency reported,Unknown,Multiple bystanders,0,0,1,2,2
Other,3,"Street 19, near the City Center",General emergency reported,Unknown,Multiple bystanders,13,0,1,1,1
Crime,2,"Street 433, near the City Center",Break-in,None,Suspect and 2 witnesses,21,1,3,1,1
Other,4,"Street 394, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,10,1,1,2,2
Medical,4,"Street 245, near the Highway",Cardiac arrest,None,1 person involved,19,1,1,4,2
Fire,5,"Street 379, near the Forest",Spreading to trees,Explosion risk,7 people evacuated,3,0,2,2,7
Other,2,"Street 61, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,0,1,0,1,1
Medical,2,"Street 84, near the Residential Area",Unconscious person,None,1 person involved,18,1,0,3,1
Other,5,"Street 460, near the Highway",General emergency reported,Unknown,Multiple bystanders,14,0,2,2,3
Other,4,"Street 103, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,8,0,1,2,2
Fire,5,"Street 313, near the City Center",Spreading to trees,Thick smoke,5 people evacuated,18,0,2,2,7
Crime,3,"Street 28, near the Highway",Break-in,Weapons sighted,Suspect and 1 witnesses,10,0,4,1,1
Medical,4,"Street 278, near the Forest",Cardiac arrest,None,1 person involved,11,0,1,4,2
Crime,5,"Street 246, near the Residential Area",Break-in,Aggressive behavior,Suspect and 1 witnesses,19,1,5,2,3
Fire,4,"Street 182, near the Residential Area",Building engulfed,Chemical smell,9 people evacuated,10,0,1,2,6
Other,5,"Street 267, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,0,0,2,2,3
Accident,5,"Street 457, near the Highway",General emergency reported,Unknown,Multiple bystanders,4,1,3,4,3
Crime,2,"Street 333, near the City Center",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,0,0,3,1,1
Accident,3,"Street 11, near the Forest",General emergency reported,Unknown,Multiple bystanders,14,1,2,3,1
Other,5,"Street 301, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,10,0,2,2,3
Medical,5,"Street 296, near the Industrial Zone",Cardiac arrest,None,1 person involved,22,0,2,4,3
Medical,1,"Street 457, near the Residential Area",Allergic reaction,None,1 person involved,21,0,0,2,0
Medical,5,"Street 443, near the City Center",Cardiac arrest,None,1 person involved,13,1,2,4,3
Crime,3,"Street 483, near the Residential Area",Break-in,None,Suspect and 1 witnesses,12,0,4,1,1
Medical,5,"Street 321, near the Forest",Unconscious person,None,1 person involved,20,1,2,4,3
Other,1,"Street 2, near the Highway",General emergency reported,Unknown,Multiple bystanders,7,0,0,0,0
Other,2,"Street 258, near the Highway",General emergency reported,Unknown,Multiple bystanders,9,0,0,1,1
Other,5,"Street 433, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,7,1,2,2,3
Medical,5,"Street 45, near the Highway",Cardiac arrest,None,1 person involved,8,0,2,4,3
Fire,1,"Street 9, near the City Center",Building engulfed,Chemical smell,9 people evacuated,14,1,0,0,4
Other,1,"Street 436, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,15,1,0,0,0
Fire,4,"Street 203, near the Forest",Building engulfed,Explosion risk,4 people evacuated,2,1,1,2,6
Fire,5,"Street 2, near the Residential Area",Small kitchen fire,Explosion risk,4 people evacuated,17,0,2,2,7
Other,4,"Street 361, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,15,1,1,2,2
Fire,4,"Street 121, near the City Center",Small kitchen fire,Explosion risk,5 people evacuated,21,1,1,2,6
Other,1,"Street 255, near the Forest",General emergency reported,Unknown,Multiple bystanders,8,1,0,0,0
Other,4,"Street 333, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,15,1,1,2,2
Medical,1,"Street 163, near the Forest",Allergic reaction,None,1 person involved,22,1,0,2,0
Crime,1,"Street 458, near the Residential Area",Public disturbance,Weapons sighted,Suspect and 2 witnesses,1,1,3,0,0
Other,1,"Street 409, near the Forest",General emergency reported,Unknown,Multiple bystanders,4,0,0,0,0
Other,2,"Street 40, near the Forest",General emergency reported,Unknown,Multiple bystanders,7,0,0,1,1
Medical,3,"Street 481, near the Industrial Zone",Unconscious person,None,1 person involved,20,0,1,3,1
Crime,3,"Street 456, near the Highway",Break-in,Aggressive behavior,Suspect and 2 witnesses,4,0,4,1,1
Accident,5,"Street 373, near the Forest",General emergency reported,Unknown,Multiple bystanders,9,0,3,4,3
Crime,5,"Street 379, near the Industrial Zone",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,14,1,5,2,3
Fire,1,"Street 454, near the City Center",Building engulfed,Thick smoke,3 people evacuated,17,0,0,0,4
Crime,4,"Street 115, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,4,1,4,2,2
Crime,3,"Street 141, near the City Center",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,6,0,4,1,1
Medical,5,"Street 334, near the Forest",Cardiac arrest,None,1 person involved,13,0,2,4,3
Fire,1,"Street 335, near the Industrial Zone",Small kitchen fire,Chemical smell,3 people evacuated,9,1,0,0,4
Accident,4,"Street 439, near the City Center",General emergency reported,Unknown,Multiple bystanders,0,0,2,3,2
Other,2,"Street 15, near the Highway",General emergency reported,Unknown,Multiple bystanders,16,1,0,1,1
Other,2,"Street 384, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,17,0,0,1,1
Medical,5,"Street 249, near the Residential Area",Unconscious person,None,1 person involved,13,0,2,4,3
Medical,1,"Street 40, near the City Center",Allergic reaction,None,1 person involved,18,1,0,2,0
Other,2,"Street 358, near the Forest",General emergency reported,Unknown,Multiple bystanders,0,0,0,1,1
Other,4,"Street 257, near the Forest",General emergency reported,Unknown,Multiple bystanders,9,1,1,2,2
Crime,3,"Street 434, near the City Center",Public disturbance,Weapons sighted,Suspect and 1 witnesses,5,0,4,1,1
Crime,2,"Street 260, near the Residential Area",Armed robbery in progress,None,Suspect and 2 witnesses,20,0,3,1,1
Crime,2,"Street 172, near the Highway",Armed robbery in progress,None,Suspect and 2 witnesses,11,0,3,1,1
Accident,4,"Street 8, near the Highway",General emergency reported,Unknown,Multiple bystanders,12,0,2,3,2
Crime,2,"Street 397, near the Highway",Public disturbance,Weapons sighted,Suspect and 1 witnesses,16,0,3,1,1
Accident,1,"Street 150, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,17,0,1,2,0
Fire,5,"Street 395, near the Residential Area",Small kitchen fire,Explosion risk,3 people evacuated,13,1,2,2,7
Medical,5,"Street 190, near the Highway",Allergic reaction,None,1 person involved,12,1,2,4,3
Crime,5,"Street 156, near the City Center",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,3,1,5,2,3
Crime,5,"Street 191, near the Residential Area",Break-in,Aggressive behavior,Suspect and 2 witnesses,5,0,5,2,3
Other,1,"Street 391, near the Highway",General emergency reported,Unknown,Multiple bystanders,13,1,0,0,0
Accident,1,"Street 414, near the Forest",General emergency reported,Unknown,Multiple bystanders,21,1,1,2,0
Medical,1,"Street 140, near the Residential Area",Allergic reaction,None,1 person involved,0,0,0,2,0
Other,5,"Street 289, near the Highway",General emergency reported,Unknown,Multiple bystanders,21,1,2,2,3
Medical,5,"Street 353, near the Highway",Cardiac arrest,None,1 person involved,19,0,2,4,3
Medical,2,"Street 335, near the Highway",Unconscious person,None,1 person involved,15,1,0,3,1
Accident,3,"Street 78, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,0,2,3,1
Crime,5,"Street 1, near the Forest",Break-in,Aggressive behavior,Suspect and 2 witnesses,7,0,5,2,3
Accident,5,"Street 242, near the Highway",General emergency reported,Unknown,Multiple bystanders,15,1,3,4,3
Accident,3,"Street 102, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,5,0,2,3,1
Fire,5,"Street 42, near the City Center",Building engulfed,Explosion risk,9 people evacuated,14,1,2,2,7
Medical,3,"Street 168, near the Forest",Unconscious person,None,1 person involved,8,0,1,3,1
Medical,4,"Street 100, near the Industrial Zone",Cardiac arrest,None,1 person involved,11,1,1,4,2
Crime,4,"Street 407, near the Highway",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,21,1,4,2,2
Accident,2,"Street 278, near the Forest",General emergency reported,Unknown,Multiple bystanders,3,0,1,2,1
Fire,5,"Street 111, near the Industrial Zone",Building engulfed,Thick smoke,9 people evacuated,20,1,2,2,7
Medical,3,"Street 374, near the City Center",Allergic reaction,None,1 person involved,23,1,1,3,1
Accident,4,"Street 426, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,2,1,2,3,2
Fire,4,"Street 367, near the Forest",Small kitchen fire,Explosion risk,2 people evacuated,9,1,1,2,6
Medical,1,"Street 259, near the Industrial Zone",Cardiac arrest,None,1 person involved,14,0,0,2,0
Accident,1,"Street 481, near the Forest",General emergency reported,Unknown,Multiple bystanders,0,0,1,2,0
Crime,3,"Street 237, near the City Center",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,10,0,4,1,1
Other,4,"Street 323, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,23,1,1,2,2
Other,2,"Street 407, near the Forest",General emergency reported,Unknown,Multiple bystanders,5,0,0,1,1
Other,2,"Street 459, near the City Center",General emergency reported,Unknown,Multiple bystanders,18,1,0,1,1
Other,5,"Street 480, near the Forest",General emergency reported,Unknown,Multiple bystanders,14,1,2,2,3
Accident,3,"Street 284, near the Forest",General emergency reported,Unknown,Multiple bystanders,4,1,2,3,1
Other,4,"Street 467, near the Highway",General emergency reported,Unknown,Multiple bystanders,12,1,1,2,2
Accident,5,"Street 7, near the Forest",General emergency reported,Unknown,Multiple bystanders,17,1,3,4,3
Other,4,"Street 332, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,1,1,1,2,2
Medical,2,"Street 85, near the Highway",Cardiac arrest,None,1 person involved,17,1,0,3,1
Crime,4,"Street 229, near the Residential Area",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,7,1,4,2,2
Other,2,"Street 187, near the City Center",General emergency reported,Unknown,Multiple bystanders,23,1,0,1,1
Fire,5,"Street 416, near the Highway",Building engulfed,Chemical smell,8 people evacuated,8,1,2,2,7
Other,2,"Street 348, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,8,0,0,1,1
Medical,1,"Street 380, near the Forest",Cardiac arrest,None,1 person involved,8,1,0,2,0
Medical,3,"Street 176, near the Residential Area",Cardiac arrest,None,1 person involved,8,1,1,3,1
Accident,1,"Street 267, near the City Center",General emergency reported,Unknown,Multiple bystanders,10,0,1,2,0
Other,1,"Street 308, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,5,0,0,0,0
Accident,4,"Street 356, near the Forest",General emergency reported,Unknown,Multiple bystanders,10,1,2,3,2
Other,1,"Street 306, near the City Center",General emergency reported,Unknown,Multiple bystanders,6,0,0,0,0
Crime,4,"Street 409, near the Industrial Zone",Break-in,Aggressive behavior,Suspect and 2 witnesses,6,1,4,2,2
Crime,3,"Street 167, near the Forest",Armed robbery in progress,None,Suspect and 2 witnesses,9,1,4,1,1
Fire,4,"Street 297, near the City Center",Spreading to trees,Thick smoke,3 people evacuated,1,1,1,2,6
Accident,5,"Street 26, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,3,0,3,4,3
Medical,1,"Street 363, near the Industrial Zone",Cardiac arrest,None,1 person involved,6,1,0,2,0
Medical,1,"Street 185, near the City Center",Unconscious person,None,1 person involved,11,0,0,2,0
Crime,3,"Street 124, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,19,1,4,1,1
